order_id,region,order_date,actual_delivery_date,delivery_time_days,delay_status,delay_reason
ORD0001,Pune,2025-04-14,2025-04-17,3,Delayed,Driver Unavailable
ORD0002,Mumbai,2025-02-17,2025-02-17,0,On-time,
ORD0003,Pune,2025-05-15,2025-05-16,1,On-time,
ORD0004,Mumbai,2025-03-10,2025-03-12,2,Delayed,Weather
ORD0005,Nashik,2025-01-23,2025-01-25,2,Delayed,Driver Unavailable
ORD0006,Mumbai,2025-04-17,2025-04-20,3,Delayed,Warehouse Issue
ORD0007,Mumbai,2025-02-14,2025-02-17,3,Delayed,Traffic
ORD0008,Pune,2025-02-10,2025-02-13,3,Delayed,Warehouse Issue
ORD0009,Pune,2025-03-02,2025-03-04,2,Delayed,
ORD0010,Mumbai,2025-04-30,2025-04-30,0,On-time,
ORD0011,Nashik,2025-02-14,2025-02-17,3,Delayed,Driver Unavailable
ORD0012,Mumbai,2025-01-16,2025-01-17,1,On-time,
ORD0013,Nashik,2025-04-15,2025-04-16,1,On-time,
ORD0014,Pune,2025-04-28,2025-04-30,2,Delayed,Traffic
ORD0015,Nashik,2025-02-10,2025-02-11,1,On-time,
ORD0016,Mumbai,2025-02-04,2025-02-07,3,Delayed,
ORD0017,Mumbai,2025-05-19,2025-05-20,1,On-time,
ORD0018,Nashik,2025-03-02,2025-03-04,2,Delayed,Driver Unavailable
ORD0019,Mumbai,2025-02-12,2025-02-14,2,Delayed,
ORD0020,Nashik,2025-05-14,2025-05-17,3,Delayed,
ORD0021,Nashik,2025-02-16,2025-02-19,3,Delayed,Traffic
ORD0022,Nashik,2025-05-05,2025-05-07,2,Delayed,Warehouse Issue
ORD0023,Pune,2025-01-02,2025-01-02,0,On-time,
ORD0024,Pune,2025-01-10,2025-01-10,0,On-time,
ORD0025,Mumbai,2025-03-24,2025-03-27,3,Delayed,Warehouse Issue
ORD0026,Pune,2025-01-11,2025-01-13,2,Delayed,Driver Unavailable
ORD0027,Nashik,2025-02-21,2025-02-22,1,On-time,
ORD0028,Pune,2025-03-18,2025-03-18,0,On-time,
ORD0029,Nashik,2025-03-26,2025-03-29,3,Delayed,
ORD0030,Mumbai,2025-05-06,2025-05-08,2,Delayed,Weather
ORD0031,Nashik,2025-03-22,2025-03-25,3,Delayed,Traffic
ORD0032,Nashik,2025-04-26,2025-04-29,3,Delayed,Traffic
ORD0033,Pune,2025-01-07,2025-01-09,2,Delayed,Weather
ORD0034,Nashik,2025-04-21,2025-04-21,0,On-time,
ORD0035,Nashik,2025-04-12,2025-04-15,3,Delayed,Warehouse Issue
ORD0036,Pune,2025-01-04,2025-01-07,3,Delayed,Weather
ORD0037,Mumbai,2025-02-11,2025-02-14,3,Delayed,Driver Unavailable
ORD0038,Mumbai,2025-05-17,2025-05-19,2,Delayed,Driver Unavailable
ORD0039,Nashik,2025-02-05,2025-02-07,2,Delayed,Warehouse Issue
ORD0040,Pune,2025-01-07,2025-01-08,1,On-time,
ORD0041,Mumbai,2025-05-29,2025-05-29,0,On-time,
ORD0042,Nashik,2025-03-28,2025-03-28,0,On-time,
ORD0043,Mumbai,2025-02-02,2025-02-03,1,On-time,
ORD0044,Nashik,2025-02-17,2025-02-20,3,Delayed,Warehouse Issue
ORD0045,Pune,2025-01-01,2025-01-01,0,On-time,
ORD0046,Nashik,2025-04-18,2025-04-18,0,On-time,
ORD0047,Pune,2025-02-03,2025-02-03,0,On-time,
ORD0048,Pune,2025-05-23,2025-05-23,0,On-time,
ORD0049,Pune,2025-04-24,2025-04-26,2,Delayed,
ORD0050,Pune,2025-05-19,2025-05-21,2,Delayed,Driver Unavailable
ORD0051,Mumbai,2025-01-12,2025-01-14,2,Delayed,Warehouse Issue
ORD0052,Nashik,2025-04-16,2025-04-18,2,Delayed,Warehouse Issue
ORD0053,Mumbai,2025-01-16,2025-01-18,2,Delayed,Warehouse Issue
ORD0054,Pune,2025-03-18,2025-03-21,3,Delayed,Weather
ORD0055,Pune,2025-05-18,2025-05-21,3,Delayed,Weather
ORD0056,Nashik,2025-02-01,2025-02-01,0,On-time,
ORD0057,Pune,2025-02-15,2025-02-18,3,Delayed,
ORD0058,Pune,2025-05-04,2025-05-05,1,On-time,
ORD0059,Nashik,2025-03-16,2025-03-19,3,Delayed,Traffic
ORD0060,Mumbai,2025-01-21,2025-01-22,1,On-time,
ORD0061,Pune,2025-02-26,2025-02-26,0,On-time,
ORD0062,Nashik,2025-03-09,2025-03-12,3,Delayed,Warehouse Issue
ORD0063,Nashik,2025-04-02,2025-04-02,0,On-time,
ORD0064,Pune,2025-02-23,2025-02-23,0,On-time,
ORD0065,Mumbai,2025-02-25,2025-02-27,2,Delayed,Driver Unavailable
ORD0066,Mumbai,2025-04-08,2025-04-11,3,Delayed,Warehouse Issue
ORD0067,Nashik,2025-02-22,2025-02-22,0,On-time,
ORD0068,Pune,2025-04-25,2025-04-27,2,Delayed,Driver Unavailable
ORD0069,Nashik,2025-04-15,2025-04-18,3,Delayed,
ORD0070,Nashik,2025-01-18,2025-01-18,0,On-time,
ORD0071,Nashik,2025-02-28,2025-03-02,2,Delayed,
ORD0072,Nashik,2025-02-21,2025-02-24,3,Delayed,Warehouse Issue
ORD0073,Pune,2025-02-21,2025-02-21,0,On-time,
ORD0074,Mumbai,2025-01-29,2025-01-29,0,On-time,
ORD0075,Mumbai,2025-04-13,2025-04-15,2,Delayed,
ORD0076,Pune,2025-02-08,2025-02-09,1,On-time,
ORD0077,Mumbai,2025-04-28,2025-04-30,2,Delayed,
ORD0078,Mumbai,2025-05-26,2025-05-29,3,Delayed,Traffic
ORD0079,Mumbai,2025-02-08,2025-02-11,3,Delayed,
ORD0080,Nashik,2025-03-12,2025-03-12,0,On-time,
ORD0081,Pune,2025-01-13,2025-01-16,3,Delayed,Warehouse Issue
ORD0082,Pune,2025-05-11,2025-05-13,2,Delayed,Weather
ORD0083,Nashik,2025-02-07,2025-02-09,2,Delayed,Traffic
ORD0084,Pune,2025-02-05,2025-02-06,1,On-time,
ORD0085,Mumbai,2025-05-22,2025-05-25,3,Delayed,Weather
ORD0086,Pune,2025-05-21,2025-05-24,3,Delayed,Weather
ORD0087,Pune,2025-05-05,2025-05-05,0,On-time,
ORD0088,Mumbai,2025-03-01,2025-03-03,2,Delayed,Weather
ORD0089,Mumbai,2025-04-05,2025-04-07,2,Delayed,Traffic
ORD0090,Mumbai,2025-02-14,2025-02-16,2,Delayed,Driver Unavailable
ORD0091,Nashik,2025-04-27,2025-04-30,3,Delayed,
ORD0092,Mumbai,2025-01-08,2025-01-08,0,On-time,
ORD0093,Nashik,2025-01-19,2025-01-19,0,On-time,
ORD0094,Pune,2025-02-13,2025-02-16,3,Delayed,Warehouse Issue
ORD0095,Pune,2025-04-12,2025-04-14,2,Delayed,Driver Unavailable
ORD0096,Nashik,2025-05-20,2025-05-21,1,On-time,
ORD0097,Nashik,2025-05-16,2025-05-18,2,Delayed,Warehouse Issue
ORD0098,Mumbai,2025-03-31,2025-04-03,3,Delayed,Traffic
ORD0099,Nashik,2025-02-21,2025-02-24,3,Delayed,Warehouse Issue
ORD0100,Mumbai,2025-05-14,2025-05-17,3,Delayed,Warehouse Issue
ORD0101,Pune,2025-03-04,2025-03-07,3,Delayed,
ORD0102,Mumbai,2025-02-05,2025-02-07,2,Delayed,Driver Unavailable
ORD0103,Mumbai,2025-01-08,2025-01-08,0,On-time,
ORD0104,Mumbai,2025-04-16,2025-04-16,0,On-time,
ORD0105,Nashik,2025-05-16,2025-05-18,2,Delayed,Weather
ORD0106,Mumbai,2025-01-07,2025-01-09,2,Delayed,Traffic
ORD0107,Nashik,2025-05-03,2025-05-04,1,On-time,
ORD0108,Nashik,2025-03-07,2025-03-09,2,Delayed,Warehouse Issue
ORD0109,Pune,2025-02-26,2025-03-01,3,Delayed,Traffic
ORD0110,Pune,2025-01-13,2025-01-14,1,On-time,
ORD0111,Nashik,2025-03-15,2025-03-17,2,Delayed,Warehouse Issue
ORD0112,Pune,2025-05-26,2025-05-29,3,Delayed,Warehouse Issue
ORD0113,Mumbai,2025-01-31,2025-01-31,0,On-time,
ORD0114,Mumbai,2025-04-26,2025-04-28,2,Delayed,Weather
ORD0115,Pune,2025-03-05,2025-03-06,1,On-time,
ORD0116,Mumbai,2025-05-29,2025-05-31,2,Delayed,
ORD0117,Pune,2025-04-07,2025-04-07,0,On-time,
ORD0118,Pune,2025-02-24,2025-02-25,1,On-time,
ORD0119,Pune,2025-04-08,2025-04-08,0,On-time,
ORD0120,Pune,2025-05-03,2025-05-06,3,Delayed,Weather
ORD0121,Pune,2025-05-16,2025-05-16,0,On-time,
ORD0122,Mumbai,2025-03-17,2025-03-17,0,On-time,
ORD0123,Nashik,2025-01-10,2025-01-10,0,On-time,
ORD0124,Nashik,2025-01-10,2025-01-12,2,Delayed,Weather
ORD0125,Mumbai,2025-02-01,2025-02-04,3,Delayed,Weather
ORD0126,Pune,2025-03-06,2025-03-06,0,On-time,
ORD0127,Nashik,2025-04-24,2025-04-24,0,On-time,
ORD0128,Mumbai,2025-05-18,2025-05-19,1,On-time,
ORD0129,Nashik,2025-05-23,2025-05-26,3,Delayed,Weather
ORD0130,Nashik,2025-04-18,2025-04-21,3,Delayed,Driver Unavailable
ORD0131,Pune,2025-04-07,2025-04-07,0,On-time,
ORD0132,Nashik,2025-01-13,2025-01-14,1,On-time,
ORD0133,Mumbai,2025-02-27,2025-03-02,3,Delayed,Traffic
ORD0134,Mumbai,2025-03-05,2025-03-07,2,Delayed,Traffic
ORD0135,Mumbai,2025-02-20,2025-02-20,0,On-time,
ORD0136,Mumbai,2025-03-05,2025-03-08,3,Delayed,
ORD0137,Mumbai,2025-01-10,2025-01-11,1,On-time,
ORD0138,Pune,2025-01-02,2025-01-04,2,Delayed,Warehouse Issue
ORD0139,Pune,2025-01-27,2025-01-27,0,On-time,
ORD0140,Nashik,2025-03-15,2025-03-17,2,Delayed,Traffic
ORD0141,Mumbai,2025-04-27,2025-04-30,3,Delayed,
